"","Domain","Mean","Head_Count","Poverty_Gap","Poverty_Severity","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90","admin0Pcod","admin1Pcod","admin2Pcod","admin2Name","area"
"49","16005",12402.75294399,0.653068264033032,0.368622141599532,0.4857982851622,0.562680587059541,22.9496293226107,1661.28203506645,3234.24344884636,6787.8207596369,14205.035799072,27674.2024982363,"BDI","BDI016","BDI016005","Kinyinya",268.663283741162
"50","16006",13489.9590573294,0.622953242522017,0.343954242325588,0.456676426036449,0.561826706149524,22.8591090957425,1809.93156738899,3525.79002479933,7395.25633512796,15498.188864162,30178.492781975,"BDI","BDI016","BDI016006","Nyabitsinda",219.68602287643
"51","16007",13860.7496461616,0.622193657206213,0.345269261231914,0.457392233163609,0.572051326896086,24.3194013543585,1774.85384453719,3491.43244266213,7387.28255118143,15672.150898591,30840.5091656793,"BDI","BDI016","BDI016007","Ruyigi",272.11978478003
"52","17014",35453.8963311284,0.320489552806951,0.145092978336488,0.203910387593804,0.595578937895402,28.0383549828728,4070.59335409722,8203.64130843885,17729.0725352108,38435.9351600635,77319.947996895,"BDI","BDI017","BDI017014","Muha",36.3417680803993
"53","17015",485336.988611498,0.282386987367759,0.119584015648872,0.171307867488788,0.934075127365504,497.430039705746,4878.06157020424,9406.31655376702,20043.7061740349,42472.7354932934,81609.0299689359,"BDI","BDI017","BDI017015","Mukaza",16.4801617616127
"54","17016",113502.490785534,0.272008308362411,0.11622438356881,0.166080791141803,0.827298482749574,102.710300804828,4930.61080782378,9672.19683688811,20414.628310491,43355.5201020606,85015.397140334,"BDI","BDI017","BDI017016","Ntahangwa",67.8573160410104
"55","18001",13887.8102100911,0.613270965266777,0.336109028878647,0.447342155510994,0.562970050032568,23.0452296988354,1858.16653916351,3618.16557831661,7586.87170033833,15908.8088356493,30924.4745172104,"BDI","BDI018","BDI018001","Muhuta",129.933350821356
"56","18002",14815.3470973241,0.593160912900409,0.32016862943195,0.427968394318474,0.56424626645104,23.2506909632457,1965.38073090477,3829.96357047123,8045.31306090516,16968.3615390843,33151.382539139,"BDI","BDI018","BDI018002","Bugarama",130.163244594706
"57","18003",14107.4383531004,0.607385120630597,0.330633981277635,0.440953366868008,0.561679464831771,22.8029084080294,1900.7991879602,3695.2873050856,7728.15735940084,16218.4160886233,31522.0052120828,"BDI","BDI018","BDI018003","Burambi",273.954822763317
"58","18004",12219.0461899818,0.655640243164062,0.370516647898733,0.488349113924961,0.560902930577038,22.7580373303494,1644.36104944798,3203.01625392079,6710.92653079052,14072.7499240945,27330.8965996223,"BDI","BDI018","BDI018004","Buyengero",206.352148457231
"59","18005",17446.2061462168,0.546124754375458,0.287653232674906,0.387270087448396,0.577543085699446,25.2593502394774,2171.15150767123,4297.49695962481,9138.66313381405,19622.9695464242,39130.8673083805,"BDI","BDI018","BDI018005","Rumonge",315.16308364749
"60","2002",13350.3169216159,0.631170269515746,0.351941338243645,0.465726126643377,0.568207396215037,23.766652662018,1740.78631965406,3413.89843075709,7178.76706404096,15196.3290219421,29952.1245365865,"BDI","BDI002","BDI002002","Isale",108.376838738797
"61","2003",13247.1293052557,0.629479234610281,0.349008117282496,0.463003674607422,0.561984708314705,22.7810399952508,1788.20245826992,3471.79043986972,7242.28328016842,15195.7091850821,29663.4223033742,"BDI","BDI002","BDI002003","Kabezi",72.0513692288684
"62","2004",16560.8019200255,0.561696406776223,0.298465372031583,0.400875573042483,0.575415170085399,24.717401129286,2098.17049062626,4121.76812289664,8753.90071910398,18617.4690756203,36720.0585252043,"BDI","BDI002","BDI002004","Kanyosha1",78.8661828188452
"63","2005",13093.9711352154,0.632884084174184,0.352092605959154,0.466323269287388,0.561677992630804,22.8681360904234,1761.1299662344,3423.07680488523,7176.98488410853,15060.6573960221,29254.5100300868,"BDI","BDI002","BDI002005","Mubimbi",69.5526162408254
"64","2006",13021.4682411487,0.636715572674481,0.355110652629627,0.469890549202838,0.562923406577719,22.9863479107935,1744.78787332073,3387.81000456681,7116.54788966954,14910.5009694413,29184.9045676723,"BDI","BDI002","BDI002006","Mugongomanga",111.690194925963
"65","2008",14120.5356362309,0.607587454096929,0.331674546320357,0.441761240368287,0.561954962443512,22.9911723481851,1883.7094618897,3678.15707177635,7738.30848635183,16200.3277754042,31543.5152570275,"BDI","BDI002","BDI002008","Mukike",142.218566385525
"66","2009",11509.5296744532,0.67746854034852,0.39022848254148,0.510915654855335,0.563614371889775,23.161747571372,1530.6782852231,2983.59883673322,6271.17944362767,13215.386307757,25780.148057793,"BDI","BDI002","BDI002009","Mutambu",81.159867433064
"67","2010",18745.4866758393,0.549547749908994,0.289520554094759,0.389888774567756,0.608753018747617,28.3254349267892,2185.57952291543,4286.43615213233,9092.61739938906,19407.7917745511,38309.9029359038,"BDI","BDI002","BDI002010","Mutimbuzi",141.512954152638
"68","2012",12668.5954652236,0.643452605311509,0.360743435624439,0.476598807193957,0.56150759669446,22.8679093389346,1704.22996135824,3314.21394391854,6946.06377715379,14529.7424692122,28372.8293483062,"BDI","BDI002","BDI002012","Nyabiraba",78.6874257307127
"69","3002",12755.4703745132,0.64392032523616,0.360971859660049,0.476857297234607,0.56443694418345,23.1874012244088,1696.51249868908,3303.66843442158,6943.20139674976,14582.6331852442,28483.8454060166,"BDI","BDI003","BDI003002","Bururi",386.086815221776
"70","3004",13935.7712583397,0.613711946262364,0.336318066613273,0.44746035537594,0.563988315744421,23.0935675834529,1861.69582847927,3629.17125803561,7604.09707396802,15940.1205170553,30984.2773669884,"BDI","BDI003","BDI003004","Matana",203.03317032837
"71","3005",13566.3409148592,0.622004302961241,0.342265794645037,0.454877074763542,0.561559256840349,22.7777405684795,1832.98599437501,3557.73212646584,7430.43546501204,15581.5667602908,30351.5629989987,"BDI","BDI003","BDI003005","Mugamba",289.033966956335
"72","3007",12968.6996215583,0.637456417763983,0.355579769792027,0.470397103397279,0.561804703739404,22.8614648393431,1748.67537176063,3393.99058354454,7107.07225842056,14905.7137382364,28997.356027276,"BDI","BDI003","BDI003007","Rutovu",281.498791123907
